RESOURCE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
HE_URANIUM_FUEL	6.01e4,6.68e3	7.85e4,8.41e3	1.14e4,1.27e3	1.9e4,2.11e3	2.63e3,292	9.00e2,1.00e2	2.11e4,2.34e3											
THORIUM_FUEL	33.4,0		31.7,0		292,0													
DEUTERIUM	6.01e3,668	2.52e3,280	1.71e3,190	2.54e3,282	2.63e4,2.92e3	9.00e2,1.00e2	2.11e4,2.34e3											
HELIUM_3																		
SPENT_URANIUM_FUEL	5.41e7,2.87e6	1.34e7,7.29e5	6.01e6,3.17e5	3.38e7,1.76e6	5.55e6,2.92e5	1.90e7,1.00e6	2.26e7,1.17e6											
SPENT_THORIUM_FUEL																		
IRON_NICKEL																		
IRON_ORES	1.8e7,2e6	7.85e6,3.36e6	8.55e7,9.5e6	1.9e7,2.11e6	1.58e7,1.75e6	1.40e7,1.50e6	1.25e8,3.12e7											
ALUMINIUM_ORES	3.01e6,3.34e5	3.03e6,3.36e5	2.28e7,2.53e6	3.17e6,3.52e5	1.17e7,2.92e6	1.80e6,2.00e5	1.25e8,3.12e7											
INDUST_METAL_ORES	1.8e6,2e5	1.79e6,4.48e5	1.14e7,1.27e6	2.54e6,2.82e5	2.63e6,2.92e5	1.80e6,2.00e5	1.87e7,4.68e6											
PRECIOUS_METAL_ORES	6.01e6,6.68e5	6.72e6,1.68e6	1.14e7,1.27e6	1.9e6,2.11e5	1.05e6,1.17e5	4.50e5,5.00e4	6.24e7,1.56e7											
RARE_EARTH_ORES	3.01e4,3.34e3	5.04e3,560	2.53e5,6.33e4	3.17e3,352	8.18e3,876	9.00e2,1.00e2	6.24e4,1.56e4											
URANIUM_ORES	6.01e3,668	8.97e3,2.24e3	8.86e3,950	3.17e3,352	2.63e3,292		4.68e4,1.56e4											
SULFUR	5.41e6,6.01e5	3.14e6,7.85e5	3.99e6,4.43e5	3.17e6,3.52e5	1.05e6,1.17e5	2.70e6,3.00e5	1.56e7,3.9e6											
ORGANICS_THOLINS																		
INDUST_MINERALS	3.01e6,3.34e5	1.34e6,3.36e5	8.86e6,9.5e5	2.54e6,2.82e5	1.58e6,1.75e5	9.00e5,1.00e5	9.36e6,2.34e6											
STONE	9.36e7,1e7	2.52e7,2.8e6	3.42e8,3.8e7	1.27e8,1.41e7	1.05e8,1.17e7	2.70e7,3.00e6	5.61e8,6.24e7											
REGOLITH																		
WATER	9.36e7,1e7	2.02e7,2.24e6	1.71e8,1.9e7	9.87e7,1.06e7	5.26e7,5.84e6	4.50e7,5.00e6	3.51e8,3.9e7							0.86,0	0.57,0	0.29,0	0.29,0	1.50,0
OXYGEN	9.36e5,1e5	2.52e5,2.8e4	1.71e6,1.9e5	9.87e5,1.06e5	2.63e5,2.92e4	4.50e5,5.00e4	2.11e6,2.34e5	1.34e4,0	5.6e3,0	1.9e4,0	3.52e3,0	1.75e3,0	2.00e3,0	0.086,0	0.057,0	0.029,0	0.029,0	0.15,0
NITROGEN	4.81e5,5.35e4	1.29e5,1.4e4	8.86e5,9.5e4	5.07e5,5.64e4	1.58e5,1.75e4	2.70e5,3.00e4	1.09e6,1.17e5	334,0	168,0	317,0	141,0	58.4,0	1.00e2,0	0.21,0	0.14,0	0.071,0	0.071,0	0.40,0
CARBON_DIOXIDE	6.01e5,6.68e4	1.29e5,1.4e4	1.14e6,1.27e5	5.07e5,5.64e4	1.58e5,1.75e4	1.80e5,2.00e4	1.4e6,1.56e5											
CARBON_MONOXIDE	6.01e4,6.68e3	2.52e4,2.8e3	1.14e5,1.27e4	5.07e4,5.64e3	1.58e4,1.75e3	1.80e4,2.00e3	1.4e5,1.56e4											
AMMONIA	9.36e5,1e5	6.72e5,1.68e5	2.6e6,2.85e5	9.87e5,1.06e5	8.18e5,8.76e4	2.30e5,2.50e4	3.12e6,7.8e5											
ETHANE																		
SULFUR_DIOXIDE																		
HELIUM	2.41e3,267	252,28	171,19	190,21.1	52.6,5.84	1.80e2,2.00e1	1.56e3,390											
ARGON	1.2e4,1.34e3	2.52e3,280	2.28e4,2.53e3	1.27e4,1.41e3	5.26e3,584	4.50e3,5.00e2	2.81e4,3.12e3											
HEAVY_NOBLE_GASES																		
INDUST_CHEMICALS	2.41e6,2.67e5	5.04e5,5.6e4	4.56e6,5.07e5	2.54e6,2.82e5	8.18e5,8.76e4	1.40e6,1.50e5	4.21e6,4.68e5											
FINE_CHEMICALS	3.61e7,4.01e6	5.04e6,5.6e5	6.96e7,7.6e6	5.07e7,5.64e6	1.05e7,1.17e6	2.70e7,3.00e6	5.61e7,6.24e6											
IRON	3.01e6,3.34e5	2.69e6,6.72e5	1.71e7,1.9e6	5.07e6,5.64e5	2.63e6,2.92e5	3.60e6,4.00e5	1.4e7,1.56e6											
STEEL	4.81e6,5.35e5	2.69e6,6.72e5	3.42e7,3.8e6	7.75e6,8.46e5	5.26e6,5.84e5	5.40e6,6.00e5	3.12e7,7.8e6											
ALUMINIUM	3.01e5,3.34e4	1.68e5,5.6e4	1.39e6,1.58e5	3.17e5,3.52e4	1.58e5,1.75e4	1.80e5,2.00e4	9.36e5,2.34e5											
INDUST_METALS	6.01e5,6.68e4	2.24e5,5.6e4	1.71e6,1.9e5	5.07e5,5.64e4	2.1e5,2.34e4	2.70e5,3.00e4	1.25e6,3.12e5											
PRECIOUS_METALS	5.41e9,2.87e8	1.34e9,7.29e7	1.71e9,1.71e8	7.05e9,3.74e8	1.87e9,1.87e8	9.00e8,9.00e7	9.36e9,9.36e8											
RARE_EARTHS	3.01e6,3.34e5	1.01e6,1.12e5	2.53e7,6.33e6	1.9e6,2.11e5	1.05e6,1.17e5	4.50e6,5.00e5	6.24e6,1.56e6											
URANIUM	2.87e7,1.54e6	3.19e7,1.68e6	1.84e7,9.5e5	1.34e7,7.05e5	5.55e6,2.92e5	7.60e6,4.00e5	2.81e7,3.12e6											
DEPLETED_URANIUM	3.21e5,1.67e4	3.75e5,1.96e4	6.01e4,3.17e3	1.34e5,7.05e3	5.55e3,292	9.50e3,5.00e2	7.41e4,3.9e3											
THORIUM	1.94e6,1e5	5.32e5,2.8e4	6.01e5,3.17e4	3.38e5,1.76e4	5.55e6,2.92e5	9.50e4,5.00e3	2.26e6,1.17e5											
CARBON	1.2e6,1.34e5	6.72e5,1.68e5	5.7e6,6.33e5	1.27e6,1.41e5	8.18e5,8.76e4	9.00e5,1.00e5	3.12e6,7.8e5											
CONCRETE	3.01e6,3.34e5	7.85e5,8.41e4	2.85e7,3.17e6	3.17e6,3.52e5	5.26e6,5.84e5	1.40e6,1.50e5	1.4e7,1.56e6											
GLASS_CERAMICS	1.2e6,1.34e5	2.52e5,2.8e4	2.85e6,3.17e5	1.27e6,1.41e5	4.21e5,4.67e4	7.20e5,8.00e4	3.51e6,3.9e5											
SEMICONDUCTOR_MAT	9.36e4,1e4	2.52e3,280	1.39e5,1.58e4	5.07e4,5.64e3	5.26e3,584	1.40e5,1.50e4	1.4e5,1.56e4											
POLYMERS	1.8e6,2e5	4.03e5,4.48e4	4.56e6,5.07e5	1.9e6,2.11e5	5.26e5,5.84e4	7.20e5,8.00e4	3.51e6,3.9e5											
COMPOSITES	9.36e4,1e4	1.01e4,1.12e3	1.39e5,1.58e4	7.75e4,8.46e3	1.58e4,1.75e3	4.50e4,5.00e3	1.4e5,1.56e4											
TECHNICAL_TEXTILES	1.47e8,1.67e7	2.52e7,2.8e6	2.85e8,3.17e7	1.27e8,1.41e7	5.26e7,5.84e6	4.50e7,5.00e6	3.51e8,3.9e7											
MUNICIPAL_WASTE																		
INDUST_WASTE																		
RADIOACTIVE_WASTE																		
HEAVY_TRANSPORTS																		
TRANSPORT_SYSTEMS	1.8e5,2e4	1.51e4,1.68e3	2.85e5,3.17e4	1.55e5,1.76e4	4.21e4,4.67e3	1.80e5,2.00e4	1.4e5,1.56e4											
ROBOTICS	3.61e5,4.01e4	2.52e4,2.8e3	8.86e5,9.5e4	3.17e5,3.52e4	5.26e4,5.84e3	7.20e5,8.00e4	3.51e5,3.9e4											
BATTERIES	6.01e3,668	504,56	2.03e4,2.22e3	5.07e3,564	1.05e3,117	4.50e3,5.00e2	7.02e3,780											
SOLAR_PANELS	9.36e4,1e4	2.52e3,280	3.8e5,6.33e4	6.34e4,7.05e3	2.63e4,2.92e3	2.70e4,3.00e3	1.4e5,1.56e4	33.4,0	11.2,0	25.3,0	21.1,0	8.76,0	2.00e1,0					
STEEL_STRUCTURES	1.2e6,1.34e5	2.52e5,2.8e4	3.42e6,3.8e5	1.27e6,1.41e5	5.26e5,5.84e4	7.20e5,8.00e4	2.81e6,3.12e5											
ALUMINIUM_STRUCTURES	1.47e5,1.67e4	2.24e4,5.6e3	2.85e5,3.17e4	1.27e5,1.41e4	4.21e4,4.67e3	7.20e4,8.00e3	2.81e5,3.12e4	668,0	280,0	507,0	282,0	175,0	3.00e2,0					
COMPOSITE_STRUCTURES	1.8e7,2e6	1.51e6,1.68e5	2.85e7,3.17e6	1.55e7,1.76e6	2.63e6,2.92e5	1.40e7,1.50e6	2.11e7,2.34e6	1.34e5,0	5.6e4,0	1.27e5,0	1.06e5,0	4.67e4,0	1.00e5,0					
HEAVY_MACHINERY	1.47e6,1.67e5	2.52e5,2.8e4	2.85e6,3.17e5	1.55e6,1.76e5	2.63e5,2.92e4	1.40e6,1.50e5	2.81e6,3.12e5											
ELECTRICAL_EQUIPMENT	1.2e6,1.34e5	1.51e5,1.68e4	2.28e6,2.53e5	1.27e6,1.41e5	2.63e5,2.92e4	9.00e5,1.00e5	2.11e6,2.34e5											
PRECISION_EQUIPMENT	1.8e8,2e7	1.51e7,1.68e6	2.28e8,2.53e7	1.9e8,2.11e7	2.63e7,2.92e6	1.80e8,2.00e7	2.11e8,2.34e7	2e5,0	8.41e4,0	1.58e5,0	1.41e5,0	5.84e4,0	1.50e5,0					
ELECTRONICS	3.01e8,3.34e7	2.52e7,2.8e6	8.86e8,9.5e7	2.54e8,2.82e7	8.18e7,8.76e6	3.60e8,4.00e7	7.02e8,7.8e7	3.34e5,0	1.12e5,0	2.53e5,0	2.11e5,0	8.76e4,0	2.50e5,0					
TENSOR_PROCESSORS	4.81e4,5.35e3	1.51e3,168	8.86e4,9.5e3	1.9e4,2.11e3	5.26e3,584	2.70e4,3.00e3	7.02e4,7.8e3											
NEUROMORPHIC_PROCESSORS																		
CONSUMER_GOODS	6.01e6,6.68e5	1.01e6,1.12e5	7.6e6,1.9e6	5.07e6,5.64e5	1.58e6,1.75e5	2.70e6,3.00e5	1.4e7,1.56e6											
SPECIALTY_GOODS	1.8e8,2e7	1.51e7,1.68e6	2.03e8,5.07e7	1.55e8,1.76e7	2.63e7,2.92e6	9.00e7,1.00e7	2.81e8,3.12e7											
CROP_PROD	3.01e7,3.34e6	8.97e6,2.24e6	1.71e8,1.9e7	3.17e7,3.52e6	4.21e7,4.67e6	9.00e6,1.00e6	3.12e8,7.8e7											
ANIMAL_PROD	1.2e6,1.34e5	2.52e5,2.8e4	2.28e6,2.53e5	1.27e6,1.41e5	5.26e5,5.84e4	4.50e5,5.00e4	2.11e6,2.34e5											
PACKAGED_MEALS	3.61e6,4.01e5	7.85e5,8.41e4	5.7e6,6.33e5	3.17e6,3.52e5	1.05e6,1.17e5	1.80e6,2.00e5	1.09e7,1.17e6							0.47,0	0.31,0	0.16,0	0.16,0	0.50,0
ARTISANAL_FOODS	2.41e8,2.67e7	4.03e7,4.48e6	2.85e8,3.17e7	3.17e8,3.52e7	8.18e7,8.76e6	1.40e8,1.50e7	4.91e8,5.46e7											
ARTISANAL_GOODS	1.47e8,1.67e7	2.52e7,2.8e6	1.71e8,1.9e7	1.9e8,2.11e7	8.18e7,8.76e6	9.00e7,1.00e7	3.51e8,3.9e7											
BIOFIBERS	1.8e5,2e4	2.52e4,2.8e3	4.56e5,5.07e4	1.27e5,1.41e4	2.1e5,2.34e4	2.70e4,3.00e3	4.99e5,1.25e5											
LUMBER_WOOD_PROD	3.01e6,3.34e5	1.34e6,3.36e5	4.56e6,5.07e5	3.17e6,3.52e5	8.18e5,8.76e4	1.40e6,1.50e5	6.24e6,1.56e6											
ALGAL_MICROBIAL_PROD	1.2e3,134	101,11.2	2.85e3,317	987,106	421,46.7	9.00e2,1.00e2	2.11e3,234											
BIOFEEDSTOCK	1.8e6,2e5	2.52e5,2.8e4	2.85e6,3.17e5	1.55e6,1.76e5	1.05e6,1.17e5	2.70e5,3.00e4	4.91e6,5.46e5											
BIOCHEMICALS	4.81e5,5.35e4	7.85e4,8.41e3	8.86e5,9.5e4	5.07e5,5.64e4	1.58e5,1.75e4	2.70e5,3.00e4	1.09e6,1.17e5											
PHARMACEUTICALS	4.21e8,4.68e7	4.03e7,4.48e6	4.56e8,5.07e7	4.44e8,4.93e7	2.34e8,5.84e7	1.80e8,2.00e7	7.02e8,7.8e7											
FERTILIZERS	2.14e6,2.34e5	1.18e6,5.04e5	5.7e6,6.33e5	1.9e6,2.11e5	1.58e6,1.75e5	4.50e5,5.00e4	9.36e6,2.34e6											
SOIL_GROWTH_MEDIA																		
BIOWASTE	6.01e5,6.68e4	1.01e5,1.12e4	1.71e6,1.9e5	9.87e5,1.06e5	5.26e5,5.84e4	4.50e5,5.00e4	2.11e6,2.34e5											
@ENTITY_X_ENTITY																		
@DATA_TYPE=VECTOR2																		
@DATA_DEFAULT=0,0																		
@TRANSPOSE																		
SCALAR_COMPUTE	4.32e3,0	189,0	2.67e3,0	1.42e3,0	295,0	842,0	1.97e3,0											
TENSOR_COMPUTE	7.15e4,0	3.15e3,0	4.44e4,0	2.37e4,0	4.92e3,0	1.4e4,0	3.28e4,0											
HEALTHCARE	7.48e7,0	3.52e6,0	3.32e7,0	5.17e7,0	6.13e6,0	1.43e7,0	7.08e7,0											
PUBLIC_GOV_SERVICES	6.88e7,0	3.25e6,0	3.06e7,0	4.77e7,0	5.65e6,0	1.32e7,0	6.53e7,0											
FINANCIAL_SERVICES	4.6e7,0	2.17e6,0	2.04e7,0	3.18e7,0	3.77e6,0	8.81e6,0	4.36e7,0											
RETAIL_SERVICES	5.17e7,0	2.44e6,0	2.3e7,0	3.58e7,0	4.23e6,0	9.91e6,0	4.9e7,0											
WHOLESALE_LOGISTICS	4.02e7,0	1.89e6,0	1.79e7,0	2.78e7,0	3.29e6,0	7.71e6,0	3.81e7,0											
EDUCATION	3.45e7,0	1.63e6,0	1.53e7,0	2.38e7,0	2.82e6,0	6.61e6,0	3.27e7,0											
HOSPITALITY	2.87e7,0	1.36e6,0	1.27e7,0	1.99e7,0	2.35e6,0	5.51e6,0	2.72e7,0											
INSURANCE_RISK	2.3e7,0	1.08e6,0	1.02e7,0	1.59e7,0	1.88e6,0	4.41e6,0	2.18e7,0											
UTILITIES_ENV_SERVICES	2.3e7,0	1.08e6,0	1.02e7,0	1.59e7,0	1.88e6,0	4.41e6,0	2.18e7,0											
BUSINESS_SERVICES	2.3e7,0	1.08e6,0	1.02e7,0	1.59e7,0	1.88e6,0	4.41e6,0	2.18e7,0											
TELECOMMUNICATIONS	1.72e7,0	8.13e5,0	7.66e6,0	1.19e7,0	1.41e6,0	3.3e6,0	1.64e7,0											
PASSENGER_SERVICES	1.72e7,0	8.13e5,0	7.66e6,0	1.19e7,0	1.41e6,0	3.3e6,0	1.64e7,0											
PERSONAL_SERVICES	1.72e7,0	8.13e5,0	7.66e6,0	1.19e7,0	1.41e6,0	3.3e6,0	1.64e7,0											
RESEARCH_DEVELOPMENT	1.44e7,0	6.78e5,0	6.39e6,0	9.94e6,0	1.17e6,0	2.75e6,0	1.36e7,0											
CONSULTING	1.44e7,0	6.78e5,0	6.39e6,0	9.94e6,0	1.17e6,0	2.75e6,0	1.36e7,0											
BROADCAST_STREAMING	1.44e7,0	6.78e5,0	6.39e6,0	9.94e6,0	1.17e6,0	2.75e6,0	1.36e7,0											
ENTERTAINMENT	1.44e7,0	6.78e5,0	6.39e6,0	9.94e6,0	1.17e6,0	2.75e6,0	1.36e7,0											
MARKETING_ADVERTISING	1.15e7,0	5.42e5,0	5.1e6,0	7.96e6,0	9.4e5,0	2.2e6,0	1.09e7,0											
LEGAL_SERVICES	1.15e7,0	5.42e5,0	5.1e6,0	7.96e6,0	9.4e5,0	2.2e6,0	1.09e7,0											
ARCHITECTURE_ENGINEERING	1.15e7,0	5.42e5,0	5.1e6,0	7.96e6,0	9.4e5,0	2.2e6,0	1.09e7,0											
FACILITIES_MANAGEMENT	1.15e7,0	5.42e5,0	5.1e6,0	7.96e6,0	9.4e5,0	2.2e6,0	1.09e7,0											
ACCOUNTING_SERVICES	8.62e6,0	4.06e5,0	3.82e6,0	5.96e6,0	7.07e5,0	1.65e6,0	8.19e6,0											
CYBERSECURITY	5.75e6,0	2.71e5,0	2.55e6,0	3.97e6,0	4.71e5,0	1.1e6,0	5.44e6,0											
# (reserve, for_sale)																		
# in trade_unit from resources.tsv																		
# transposed on import to:																		
# table[facility_type][resource_type]																		
