name\Field	resource_class	unique_type	ai_tags	convert_extraction	trade_class	storage_class	trade_unit	start_price	is_extraction	is_volatile	disposal_sink	waste_form	sort_override	mass_err_mult
SULFUR_DIOXIDE	VOLATILES				ICE	ICE_VOLATILE	t	200	x	x	ATMOSPHERE			
HELIUM	VOLATILES				CRYOGENIC	CRYOGENIC	t	25641	x	x	ATMOSPHERE			
ARGON	VOLATILES				CRYOGENIC	CRYOGENIC	t	800	x	x	ATMOSPHERE			
HEAVY_NOBLE_GASES	VOLATILES				CRYOGENIC	CRYOGENIC	kg	140	x	x	ATMOSPHERE			
INDUST_CHEMICALS	VOLATILES				LIQUID	LIQUID	t	340		x		INDUST_WASTE		
FINE_CHEMICALS	VOLATILES				PRECIOUS	SPECIAL_HANDLING	kg	10		x		INDUST_WASTE		
IRON	MATERIALS				BULK	BULK	t	287				INDUST_WASTE		
STEEL	MATERIALS				BULK	BULK	t	400				INDUST_WASTE		
ALUMINIUM	MATERIALS				BULK	BULK	t	1660				INDUST_WASTE		
INDUST_METALS	MATERIALS				BULK	BULK	t	3700				INDUST_WASTE		
PRECIOUS_METALS	MATERIALS				PRECIOUS	SPECIAL_HANDLING	g	36				INDUST_WASTE		
RARE_EARTHS	MATERIALS				PRECIOUS	SPECIAL_HANDLING	kg	25				INDUST_WASTE		
URANIUM	MATERIALS				PRECIOUS	SPECIAL_HANDLING	kg	80						
DEPLETED_URANIUM	MATERIALS				BULK	BULK	t	5				INDUST_WASTE		
THORIUM	MATERIALS				PRECIOUS	SPECIAL_HANDLING	kg	12						
CARBON	MATERIALS				BULK	BULK	t	250				INDUST_WASTE		
CONCRETE	MATERIALS				BULK	BULK	t	35				INDUST_WASTE		
GLASS_CERAMICS	MATERIALS				BULK	BULK	t	400				INDUST_WASTE		
SEMICONDUCTOR_MAT	MATERIALS				BULK	SPECIAL_HANDLING	kg	50				INDUST_WASTE		
POLYMERS	MATERIALS				BULK	BULK	t	1200				INDUST_WASTE		
COMPOSITES	MATERIALS				BULK	BULK	t	8000				INDUST_WASTE		
TECHNICAL_TEXTILES	MATERIALS				BULK	BULK	kg	12				INDUST_WASTE		
MUNICIPAL_WASTE	MATERIALS				BULK	BULK	t	15	x		SURFACE			
INDUST_WASTE	MATERIALS				BULK	BULK	t	25	x		SURFACE			
RADIOACTIVE_WASTE	MATERIALS				BULK	RADIOACTIVE	t	50						
HEAVY_TRANSPORTS	MANUFACTURED							100						
TRANSPORT_SYSTEMS	MANUFACTURED				BULK	BULK	t	15000				INDUST_WASTE		
ROBOTICS	MANUFACTURED				BULK	SPECIAL_HANDLING	kg	50				INDUST_WASTE		
BATTERIES	MANUFACTURED				BULK	SPECIAL_HANDLING	t	40000				INDUST_WASTE		
SOLAR_PANELS	MANUFACTURED				BULK	SPECIAL_HANDLING	t	11000				INDUST_WASTE		
STEEL_STRUCTURES	MANUFACTURED				BULK	BULK	t	1500				INDUST_WASTE		
ALUMINIUM_STRUCTURES	MANUFACTURED				BULK	BULK	t	5000				INDUST_WASTE		
COMPOSITE_STRUCTURES	MANUFACTURED				BULK	BULK	kg	50				INDUST_WASTE		
HEAVY_MACHINERY	MANUFACTURED				BULK	BULK	t	5000				INDUST_WASTE		
ELECTRICAL_EQUIPMENT	MANUFACTURED				BULK	BULK	t	8000				INDUST_WASTE		
PRECISION_EQUIPMENT	MANUFACTURED				PRECIOUS	SPECIAL_HANDLING	kg	80				INDUST_WASTE		
ELECTRONICS	MANUFACTURED				PRECIOUS	SPECIAL_HANDLING	kg	60				INDUST_WASTE		
TENSOR_PROCESSORS	MANUFACTURED				PRECIOUS	SPECIAL_HANDLING	g	5				INDUST_WASTE		
NEUROMORPHIC_PROCESSORS	MANUFACTURED				PRECIOUS	SPECIAL_HANDLING	g	15				INDUST_WASTE		
CONSUMER_GOODS	MANUFACTURED				BULK	BULK	t	8000				MUNICIPAL_WASTE		
SPECIALTY_GOODS	MANUFACTURED				BULK	SPECIAL_HANDLING	kg	80				MUNICIPAL_WASTE		
CROP_PROD	BIOLOGICALS				BULK	BULK	t	350				BIOWASTE		
ANIMAL_PROD	BIOLOGICALS				BULK	SPECIAL_HANDLING	t	1050				BIOWASTE		
PACKAGED_MEALS	BIOLOGICALS				BULK	BULK	t	6000				BIOWASTE		
ARTISANAL_FOODS	BIOLOGICALS				PRECIOUS	SPECIAL_HANDLING	kg	15				BIOWASTE		
ARTISANAL_GOODS	BIOLOGICALS				PRECIOUS	SPECIAL_HANDLING	kg	30				MUNICIPAL_WASTE		
BIOFIBERS	BIOLOGICALS				BULK	BULK	t	1500				BIOWASTE		
LUMBER_WOOD_PROD	BIOLOGICALS				BULK	BULK	t	350				BIOWASTE		
ALGAL_MICROBIAL_PROD	BIOLOGICALS				BULK	BULK	t	15000				BIOWASTE		
BIOFEEDSTOCK	BIOLOGICALS				BULK	BULK	t	50				BIOWASTE		
BIOCHEMICALS	BIOLOGICALS				BULK	SPECIAL_HANDLING	t	8000				INDUST_WASTE		
PHARMACEUTICALS	BIOLOGICALS				PRECIOUS	SPECIAL_HANDLING	kg	60				INDUST_WASTE		
FERTILIZERS	BIOLOGICALS				BULK	BULK	t	300				INDUST_WASTE		
SOIL_GROWTH_MEDIA	BIOLOGICALS				BULK	BULK	t	30				BIOWASTE		
BIOWASTE	BIOLOGICALS				BULK	BULK	t	10	x		SURFACE			
WILD_FISHERIES	BIOLOGICALS			ANIMAL_PROD					x					
TIMBER	BIOLOGICALS			LUMBER_WOOD_PROD					x					
SCALAR_COMPUTE	SERVICES				CYBER		Zflop	10000						
TENSOR_COMPUTE	SERVICES				CYBER		Zflop	500						
NEUROMORPHIC_COMPUTE	SERVICES				CYBER		Zflop	10000						
FACILITIES_MANAGEMENT	SERVICES				CYBER		1	100						
TELECOMMUNICATIONS	SERVICES				CYBER		1	100						
CYBERSECURITY	SERVICES				CYBER		1	100						
BROADCAST_STREAMING	SERVICES				CYBER		1	100						
MARKETING_ADVERTISING	SERVICES				CYBER		1	100						
BUSINESS_SERVICES	SERVICES				CYBER		1	100						
ACCOUNTING_SERVICES	SERVICES				CYBER		1	100						
CONSULTING	SERVICES				CYBER		1	100						
LEGAL_SERVICES	SERVICES				CYBER		1	100						
FINANCIAL_SERVICES	SERVICES				CYBER		1	100						
INSURANCE_RISK	SERVICES				CYBER		1	100						
ARCHITECTURE_ENGINEERING	SERVICES				CYBER		1	100						
RESEARCH_DEVELOPMENT	SERVICES				CYBER		1	100						
WHOLESALE_LOGISTICS	SERVICES						1	100						
PASSENGER_SERVICES	SERVICES						1	100						
RETAIL_SERVICES	SERVICES						1	100						
HOSPITALITY	SERVICES						1	100						
ENTERTAINMENT	SERVICES						1	100						
PERSONAL_SERVICES	SERVICES						1	100						
HEALTHCARE	SERVICES						1	100						
EDUCATION	SERVICES						1	100						
PUBLIC_GOV_SERVICES	SERVICES						1	100						
UTILITIES_ENV_SERVICES	SERVICES						1	100						
# max is_extraction 63													
