name\Field	op_class	storage	reconfig_time	reconfig_cost	biological_crew	carrying_capacity	carrying_capacity_group	stratum_group	foldable	operations	maintenance	maintenance_rates	buildout	buildout_qty	buildout_scrap	buildout_scrap_qty	recoverable	recoverable_qty
FUEL_CELLS	ENERGY	500 MWh;10;75;150;100;0;1	90	0.5					x	HYDROGEN_FUEL_CELLS;METHANE_FUEL_CELLS;METHANOL_FUEL_CELLS	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	ELECTRICAL_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;INDUST_METALS	8.64;5.4;4.32;3.24;2.16	INDUST_WASTE	1.76	STEEL;INDUST_METALS;INDUST_WASTE	10.25;3.68;8.07
LEU_NUCLEAR_PLANTS	ENERGY	500 MWh;10;10;2;1;1;1								LEU_FISSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;INDUST_METALS	486;129.6;86.4;32.4;10.8	INDUST_WASTE	55.2	STEEL;INDUST_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	170;21;124.8;374.2
HEU_NUCLEAR_REACTORS	ENERGY	500 MWh;10;10;2;1;1;1								HEU_FISSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;INDUST_METALS	54;54;32.4;16.2;5.4	INDUST_WASTE	12	STEEL;INDUST_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	83.5;11.3;13.8;41.4
THORIUM_NUCLEAR_PLANTS	ENERGY	500 MWh;10;10;2;1;1;1								THORIUM_FISSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;INDUST_METALS	486;129.6;86.4;32.4;10.8	INDUST_WASTE	55.2	STEEL;INDUST_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	170;21;124.8;374.2
D_T_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								D_T_FUSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;COMPOSITE_STRUCTURES;PRECISION_EQUIPMENT;RARE_EARTHS	216;162;108;64.8;43.2;32.4;21.6	INDUST_WASTE	48	STEEL;ALUMINIUM;INDUST_METALS;RARE_EARTHS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	270;4.5;29.2;10;0.06;28.62;257.6
D_3HE_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								D_3HE_FUSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;COMPOSITE_STRUCTURES;PRECISION_EQUIPMENT;RARE_EARTHS	194.4;140.4;102.6;64.8;43.2;37.8;23.76	INDUST_WASTE	44.96	STEEL;ALUMINIUM;INDUST_METALS;RARE_EARTHS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	250.5;5.25;29.8;11;0.07;13.27;252.1
3HE_3HE_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								3HE_3HE_FUSION_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;COMPOSITE_STRUCTURES;PRECISION_EQUIPMENT;RARE_EARTHS	183.6;129.6;97.2;70.2;48.6;43.2;27	INDUST_WASTE	44.4	STEEL;ALUMINIUM;INDUST_METALS;RARE_EARTHS;PRECIOUS_METALS;INDUST_WASTE	241.5;6;31.75;12.5;0.08;263.2
RADIOISOTOPE_GENERATORS	ENERGY	500 MWh;10;10;2;1;0;1								RADIOISOTOPE_POWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	PRECISION_EQUIPMENT;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;INDUST_METALS	32.4;21.6;16.2;10.8	INDUST_WASTE	6	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	29;4.5;17.3;0.06;3.621;20.52
ATMOSPHERE_PROCESSORS	EXTRACTION	500 MWh;10;1500;2;3500;0;1						ATMOSPHERE		ATMOSPHERE_SEPARATION	STEEL_STRUCTURES	2.4	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	118.8;64.8;21.6;10.8	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	136;13.2;50.8
CONT_SURFACE_RESERVOIRS_TREATMENT_PLANTS	EXTRACTION	500 MWh;5000;100000;2;1;0;1						CONT_SURFACE		CONT_SURFACE_WATER_TREATMENT	STEEL_STRUCTURES	20	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	237.6;118.8;54;21.6	INDUST_WASTE	32	STEEL;INDUST_METALS;INDUST_WASTE	136.5;8.4;255.1
CONT_SURFACE_BRINE_PROCESSING_PLANTS	EXTRACTION	500 MWh;1000;10;2;1;0;1						CONT_SURFACE		CONT_SURFACE_BRINE_EXTRACTION	STEEL_STRUCTURES	0.378	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	97.2;75.6;32.4;10.8	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	129.5;7.8;62.7
CONT_SURFACE_QUARRIES	EXTRACTION	500 MWh;150000;10;2;1;0;1	60	0.1				CONT_SURFACE	x	CONT_SURFACE_STONE_QUARRYING;CONT_SURFACE_REGOLITH_QUARRYING	STEEL_STRUCTURES	25	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	453.6;64.8;12.96;8.64	INDUST_WASTE	40	STEEL;INDUST_METALS;INDUST_WASTE	349.8;36.24;114
CONT_SURFACE_MINES	EXTRACTION	500 MWh;75000;10;2;1;0;1	365	1.0				CONT_SURFACE	x	CONT_SURFACE_COAL_MINING;CONT_SURFACE_IRON_MINING;CONT_SURFACE_ALUMINIUM_MINING;CONT_SURFACE_INDUST_METALS_MINING;CONT_SURFACE_PRECIOUS_METALS_MINING;CONT_SURFACE_URANIUM_MINING;CONT_SURFACE_RARE_EARTHS_MINING;CONT_SURFACE_SULFUR_MINING;CONT_SURFACE_ORGANICS_MINING;CONT_SURFACE_INDUST_MINERALS_MINING	STEEL_STRUCTURES	29.1	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	540;81;19.44;7.56	INDUST_WASTE	48	STEEL;INDUST_METALS;INDUST_WASTE	420.9;43.96;135.1
CONT_NEAR_SURFACE_MINES	EXTRACTION	500 MWh;12000;10;2;1;0;1	540	2.0				CONT_NEAR_SURFACE	x	CONT_NEAR_SURFACE_COAL_MINING;CONT_NEAR_SURFACE_IRON_MINING;CONT_NEAR_SURFACE_ALUMINIUM_MINING;CONT_NEAR_SURFACE_INDUST_METALS_MINING;CONT_NEAR_SURFACE_PRECIOUS_METALS_MINING;CONT_NEAR_SURFACE_URANIUM_MINING;CONT_NEAR_SURFACE_RARE_EARTHS_MINING;CONT_NEAR_SURFACE_SULFUR_MINING;CONT_NEAR_SURFACE_ORGANICS_MINING;CONT_NEAR_SURFACE_INDUST_MINERALS_MINING	STEEL_STRUCTURES	10.2	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	583.2;91.8;19.44;7.56	INDUST_WASTE	52	STEEL;INDUST_METALS;INDUST_WASTE	457.4;47.16;145.4
CONT_NEAR_SURFACE_WELLS	EXTRACTION	500 MWh;250;5000;2500;3000;0;1	120	0.3				CONT_NEAR_SURFACE	x	CONT_NEAR_SURFACE_GAS_DRILLING;CONT_NEAR_SURFACE_OIL_DRILLING;CONT_NEAR_SURFACE_WATER_DRILLING	STEEL_STRUCTURES	9.12	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	280.8;81;16.2	INDUST_WASTE	28	STEEL;INDUST_METALS;INDUST_WASTE	251.8;24.1;74.15
CONT_SUBSURFACE_MINES	EXTRACTION	500 MWh;5000;10;2;1;0;1	730	3.0				CONT_SUBSURFACE	x	CONT_SUBSURFACE_COAL_MINING;CONT_SUBSURFACE_IRON_MINING;CONT_SUBSURFACE_ALUMINIUM_MINING;CONT_SUBSURFACE_INDUST_METALS_MINING;CONT_SUBSURFACE_PRECIOUS_METALS_MINING;CONT_SUBSURFACE_URANIUM_MINING;CONT_SUBSURFACE_RARE_EARTHS_MINING;CONT_SUBSURFACE_SULFUR_MINING;CONT_SUBSURFACE_ORGANICS_MINING;CONT_SUBSURFACE_INDUST_MINERALS_MINING	STEEL_STRUCTURES	4.47	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	669.6;113.4;19.44;7.56	INDUST_WASTE	60	STEEL;INDUST_METALS;INDUST_WASTE	530.5;53.56;166
CONT_SUBSURFACE_WELLS	EXTRACTION	500 MWh;150;3000;1200;1500;0;1	180	0.5				CONT_SUBSURFACE	x	CONT_SUBSURFACE_GAS_DRILLING;CONT_SUBSURFACE_OIL_DRILLING;CONT_SUBSURFACE_WATER_DRILLING	STEEL_STRUCTURES	4.44	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	324;91.8;16.2	INDUST_WASTE	32	STEEL;INDUST_METALS;INDUST_WASTE	288.2;27.3;84.45
CONT_DEEP_SUBSURFACE_MINES	EXTRACTION	500 MWh;2000;10;2;1;0;1	1095	5.0				CONT_DEEP_SUBSURFACE	x	CONT_DEEP_SUBSURFACE_COAL_MINING;CONT_DEEP_SUBSURFACE_IRON_MINING;CONT_DEEP_SUBSURFACE_ALUMINIUM_MINING;CONT_DEEP_SUBSURFACE_INDUST_METALS_MINING;CONT_DEEP_SUBSURFACE_PRECIOUS_METALS_MINING;CONT_DEEP_SUBSURFACE_URANIUM_MINING;CONT_DEEP_SUBSURFACE_RARE_EARTHS_MINING;CONT_DEEP_SUBSURFACE_SULFUR_MINING;CONT_DEEP_SUBSURFACE_ORGANICS_MINING;CONT_DEEP_SUBSURFACE_INDUST_MINERALS_MINING	STEEL_STRUCTURES	1.82	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	756;129.6;23.76;8.64	INDUST_WASTE	68	STEEL;INDUST_METALS;INDUST_WASTE	600.8;60.84;188.4
CONT_DEEP_SUBSURFACE_WELLS	EXTRACTION	500 MWh;100;10;500;600;0;1	270	1.0				CONT_DEEP_SUBSURFACE	x	CONT_DEEP_SUBSURFACE_GAS_DRILLING;CONT_DEEP_SUBSURFACE_OIL_DRILLING	STEEL_STRUCTURES	1.68	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	388.8;108;21.6	INDUST_WASTE	38.4	STEEL;INDUST_METALS;INDUST_WASTE	345;33.2;101.8
CONT_EXTREME_SUBSURFACE_WELLS	EXTRACTION	500 MWh;50;10;2;250;0;1						CONT_EXTREME_SUBSURFACE	x	CONT_EXTREME_SUBSURFACE_GAS_DRILLING	STEEL_STRUCTURES	0.6	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	486;140.4;21.6	INDUST_WASTE	48	STEEL;INDUST_METALS;INDUST_WASTE	433.5;40.4;126.1
OCEAN_DESALINATION_PLANTS	EXTRACTION	500 MWh;2500;150000;2;1;0;1						OCEAN		OCEAN_DESALINATION	STEEL_STRUCTURES	3.21	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	151.2;129.6;64.8;32.4	INDUST_WASTE	28	STEEL;INDUST_METALS;INDUST_WASTE	215;16.2;118.8
REGOLITH_VOLATILES_EXTRACTION_PLANTS	EXTRACTION	500 MWh;100;1000;2;1;0;1						REGOLITH		REGOLITH_VOLATILES_EXTRACTION	STEEL_STRUCTURES	0.54	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	162;81;21.6;5.4	INDUST_WASTE	20	STEEL;INDUST_METALS;INDUST_WASTE	176.8;16.4;56.85
HYDROCARBON_BODIES_PROCESSORS	EXTRACTION	500 MWh;10;10;2;7500;0;1						HYDROCARBON_BODIES		HYDROCARBON_BODIES_SEPARATION	STEEL_STRUCTURES	24	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	162;129.6;27;5.4	INDUST_WASTE	24	STEEL;INDUST_METALS;INDUST_WASTE	217;17.5;65.5
OIL_REFINERIES	REFINING	50 MWh;25;25;700;25;0;1								OIL_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.86;0.311	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	118.8;102.6;32.4;16.2	INDUST_WASTE	20	STEEL;INDUST_METALS;INDUST_WASTE	166;10.9;73.1
IRON_NICKEL_REFINERIES	REFINING	150 MWh;700;10;2;1;0;1								IRON_NICKEL_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	2.03;0.338	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS	118.8;118.8;32.4;21.6;10.8	INDUST_WASTE	22.4	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	178.5;13.2;1;87.3
STEEL_MILLS	REFINING	200 MWh;1000;125;2;175;0;1	730	2.0					x	IRON_ORE_SMELTING;BASIC_O2_STEELMAKING;H2_REDUCTION_STEELMAKING;ELECTRIC_STEELMAKING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.1;0.184	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS	129.6;129.6;43.2;21.6;12.96	INDUST_WASTE	24.96	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	194;14;1.2;102.8
SOLAR_FURNACES	REFINING	50 MWh;600;150;2;1;0;1								SOLAR_STEELMAKING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.11;0.185	STEEL_STRUCTURES;HEAVY_MACHINERY;GLASS_CERAMICS;CONCRETE;ELECTRICAL_EQUIPMENT	86.4;54;43.2;21.6;10.8	INDUST_WASTE	16	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	107;6.2;4;82.8
ALUMINIUM_SMELTERS	REFINING	1000 MWh;700;125;2;1;0;1								ALUMINIUM_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.18;0.197	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE;CARBON	129.6;108;86.4;43.2;10.8	INDUST_WASTE	28	STEEL;INDUST_METALS;INDUST_WASTE	204;25.6;120.4
INDUST_METALS_SMELTERS	REFINING	250 MWh;700;100;2;25;0;1								INDUST_METALS_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	3.51;0.586	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE;GLASS_CERAMICS	162;151.2;54;43.2;21.6	INDUST_WASTE	32	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	245.5;22.2;2;130.3
PRECIOUS_METALS_REFINERIES	REFINING	200 MWh;700;50;2;1;0;1								PRECIOUS_METALS_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	47.1;7.86	STEEL_STRUCTURES;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;CONCRETE	972;972;648;378;162;108	INDUST_WASTE	240	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	1655;90;269;15;1.2;969.8
RARE_EARTHS_REFINERIES	REFINING	600 MWh;600;100;15;1;0;150								RARE_EARTHS_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	49.9;8.31	STEEL_STRUCTURES;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;CONCRETE	1188;1080;702;432;216;162	INDUST_WASTE	280	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	1925;97.5;298;20;1.3;1158
URANIUM_PROCESSING_PLANTS	REFINING	25 MWh;700;50;15;1;0;35								URANIUM_REFINING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	38.5;6.41	STEEL_STRUCTURES;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;CONCRETE	1026;918;594;378;194.4;129.6	INDUST_WASTE	240	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	1652;82.5;255;18;1.1;29.73;961.2
REGOLITH_PROCESSING_PLANTS	REFINING	2000 MWh;600;10;2;200;0;1								REGOLITH_PROCESSING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.632;0.105	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE;GLASS_CERAMICS	97.2;86.4;54;21.6;10.8	INDUST_WASTE	20	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	152.5;17.4;1;79.1
ISOTOPE_SEPARATION_PLANTS	REFINING	35000 MWh;10;400;2;400;0;1								DEUTERIUM_PURIFICATION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	42.9;7.14	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;PRECISION_EQUIPMENT;CONCRETE	1188;972;972;378;270	INDUST_WASTE	280	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	1995;52.5;340;0.7;1112
RECYC_CENTERS	REFINING	150 MWh;250;75;2;50;0;1								MUNICIPAL_RECYC_INCINERATION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.387;0.0645	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	86.4;86.4;21.6;21.6	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	132;10.8;57.2
INDUST_RECYC_FACILITIES	REFINING	150 MWh;700;10;2;1;0;1								INDUST_RECYC_INCINERATION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.583;0.0971	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE;GLASS_CERAMICS	97.2;108;32.4;21.6;10.8	INDUST_WASTE	20	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	158.5;14.6;1;75.9
NUCLEAR_FUEL_REPROCESSING_PLANTS	REFINING	50 MWh;200;25;50;1;400;150	365	1.5					x	URANIUM_FUEL_REPROCESSING;THORIUM_FUEL_REPROCESSING	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	42.9;7.14	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	1188;972;918;432;270	INDUST_WASTE	280	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	1710;60;203;0.8;305.2;1221
ELECTROLYSIS_PLANTS	CONVERSION	2000 MWh;10;1500;2;400;0;1	60	0.3					x	WATER_ELECTROLYSIS;CO2_ELECTROLYSIS	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.977;0.163	ELECTRICAL_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE	86.4;75.6;43.2;21.6	INDUST_WASTE	16.8	STEEL;INDUST_METALS;INDUST_WASTE	119.5;20.8;69.7
CATALYTIC_REACTOR_PLANTS	CONVERSION	600 MWh;10;20000;10000;3000;0;1	180	0.5					x	CO2_METHANATION;STEAM_METHANE_REFORMING;WATER_GAS_SHIFT;REVERSE_WATER_GAS_SHIFT;CO2_METHANOL_SYNTH;CO_METHANOL_SYNTH;LIQ_HYDROCARBONS_SYNTH;AMMONIA_SYNTH	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	22;3.66	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	810;810;324;216	INDUST_WASTE	160	STEEL;INDUST_METALS;INDUST_WASTE	1282;126;591.5
GASIFICATION_PLANTS	CONVERSION	50 MWh;400;400;2;150;0;1	120	0.3					x	COAL_GASIFICATION;BIOMASS_GASIFICATION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.973;0.162	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS	102.6;102.6;37.8;19.44;7.56	INDUST_WASTE	20	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	154.4;11.56;0.7;83.29
PYROLYSIS_PLANTS	CONVERSION	600 MWh;2000;200;5;250;0;1	365	1.0					x	METHANE_PYROLYSIS;COAL_CARBONIZATION;BIOMASS_CARBONIZATION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.12;0.187	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS	102.6;102.6;32.4;19.44;12.96	INDUST_WASTE	20	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	154.4;11.56;1.2;82.79
POLYMER_PLANTS	CONVERSION	750 MWh;250;50;350;100;0;1								POLYMER_SYNTH	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	2.34;0.391	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	162;140.4;43.2;32.4	INDUST_WASTE	28	STEEL;INDUST_METALS;INDUST_WASTE	231.5;20.8;97.7
CHEMICAL_PLANTS	CONVERSION	200 MWh;300;50;250;125;0;1								INDUST_CHEMICALS_SYNTH	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.43;0.0716	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	86.4;81;27;21.6	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	129.8;11.9;58.35
FINE_CHEMICALS_PLANTS	CONVERSION	600 MWh;150;75;250;75;0;200								FINE_CHEMICALS_SYNTH	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	14.5;2.41	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;PRECISION_EQUIPMENT;CONCRETE	561.6;561.6;216;172.8;108	INDUST_WASTE	120	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	918;24;117.6;0.32;440.1
CONCRETE_PLANTS	CONVERSION	100 MWh;700;75;2;1;0;1								CONCRETE_PRODUCTION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.127;0.0212	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	75.6;59.4;16.2;10.8	INDUST_WASTE	12	STEEL;INDUST_METALS;INDUST_WASTE	101.8;8.9;39.35
