MODULE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
CONT_NEAR_SURFACE_MINES	762;96.9;0;775;273;3.42;13;0;0;708	678;257;4.51;551;684;16;2.08;0.182;114;343	6.39e3;1.03e3;49.8;2.38e3;1.32e3;6.84;29.8;1.43;47.2;4.61e3	568;266;2.73;309;88.1;3.88;0;0.526;178;1e3	1.25e3;348;30.6;315;39.6;3.19;2.37;0;0;402	0;0;0;0;0;0;0;0.324;0;167	4.51e3;9.36e3;236;1.19e4;1.25e4;496;29.2;1.29;69.1;7.17e3											
CONT_SUBSURFACE_MINES	3.24e3;55.1;0;1.1e3;1.4e3;15.9;11.8;0;0;564	947;243;3.44;539;941;25.4;1.89;0.0874;86.9;340	2.17e4;1.22e3;47;2.77e3;2.34e3;14.5;47.1;0.486;49.3;3.67e3	2.66e3;344;3.05;415;197;6.94;0;0.281;197;796	1.75e3;165;18.9;306;53.8;3.98;2.14;0;0;319	0;0;0;0;0;0;0;0.156;0;133	6.4e3;3.83e3;183;1.16e4;2.53e4;621;26;0.59;68.7;6.67e3											
CONT_DEEP_SUBSURFACE_MINES	2.12e3;0;0;653;849;7.69;0;0;0;0	818;171;0;443;594;13.1;0;0;0;0	1.44e4;836;0;2.27e3;1.47e3;7.28;0;0;0;0	2.33e3;320;0;443;216;7.19;0;0;0;0	1.52e3;0;0;249;47.3;2.84;0;0;0;0		5.52e3;0;0;9.59e3;4.03e4;318;0;0;0;0											
CONT_NEAR_SURFACE_WELLS	258;257;2.21e3	558;1.61e3;616	202;527;5.57e3	102;204;2.33e3	23.9;83.5;3.21e3	9.92;3.87;440	1.73e3;7.88e3;1.72e4											
CONT_SUBSURFACE_WELLS	1.03e4;1.52e4;1.1e3	6.56e3;1.62e4;308	1.67e3;5.89e3;2.22e3	3.35e3;5.73e3;1.16e3	265;946;642	60.5;22.0;110	1.93e4;8.81e4;4.29e3											
CONT_DEEP_SUBSURFACE_WELLS	1.83e4;2.7e4	9.81e3;1.52e4	2.42e3;6.9e3	3.92e3;5.76e3	392;1.1e3	54.1;20.4	2.82e4;1.03e5											
CONT_EXTREME_SUBSURFACE_WELLS	1.38e4	4.87e3	1.21e3	1.94e3	197		1.42e4											
CONT_SURFACE_QUARRIES	1.03e3;384	216;118	7.98e3;5.17e3	1.56e3;705	736;341	386;185	6.02e3;5.03e3											
ATMOSPHERE_PROCESSORS	551	198	1.67e3	581	206	353	1.54e3											
REGOLITH_VOLATILES_EXTRACTION_PLANTS																		
HYDROCARBON_BODIES_PROCESSORS																		
OCEAN_DESALINATION_PLANTS	949		6.77e3	1.35e3	3.67e3	537	2.35e4											
CONT_SURFACE_BRINE_PROCESSING_PLANTS	285	47.9	295	121	109		2.54e3
CONT_SURFACE_RESERVOIRS_TREATMENT_PLANTS	3.68e3	773	6.96e3	3.1e3	1.93e3	1.65e3	2.14e4
OIL_REFINERIES	6.48e4	1.97e4	5.72e4	5.32e4	2.03e4	2.10e4	1.72e5											
IRON_NICKEL_REFINERIES																		
STEEL_MILLS	2.88e3;2.88e3;525;5.42e3	4.42e3;4.42e3;363;1.84e3	8.74e4;8.74e4;0;5.57e3	1.01e4;1.01e4;0;7.33e3	5.03e3;5.03e3;3.02e3;3.14e3	1.30e4;1.30e4;0;4.35e3	2.82e4;2.82e4;2.17e3;1.3e4											
SOLAR_FURNACES																		
ALUMINIUM_SMELTERS	755	1.38e3	2.15e4	2.09e3	1.28e3		8.66e3											
INDUST_METALS_SMELTERS	1e3	841	9.24e3	2.01e3	952	2.28e3	5.12e3											
PRECIOUS_METALS_REFINERIES	169	142	703	511	193	354	1.65e3											
RARE_EARTHS_REFINERIES		0.535	44.3	0.538	0.334	1.14	3.28											
URANIUM_PROCESSING_PLANTS	1.46	2.91	1.86	0.355	0.428		58.1											
REGOLITH_PROCESSING_PLANTS																		
ISOTOPE_SEPARATION_PLANTS																		
RECYC_CENTERS	6.2e4	1.2e4	4.87e4	6.29e4	1.49e4	1.57e4	3.38e5											
INDUST_RECYC_FACILITIES	6.05e4	1.69e4	1.53e5	7.82e4	1.9e4	2.79e4	4.34e4											
NUCLEAR_FUEL_REPROCESSING_PLANTS		0.0785;0	0.012;0	0.638;0	0.0666;0.00111	0.279;0												
ELECTROLYSIS_PLANTS	353;0	74;0	665;0	620;0	103;0	264;0	206;0											
CATALYTIC_REACTOR_PLANTS	0;5.83e3;4.67e3;0;0;13.4;4.01;982	0;2.61e3;2.09e3;0;0;11.2;1.68;1.1e3	0;8.04e3;6.46e3;0;0;153;3.8;5.43e3	0;6.15e3;4.93e3;0;0;14.1;2.11;1.73e3	0;1.86e3;1.48e3;0;0;0;0;1.26e3	0;2.91e3;2.33e3;0;0;0;0;245	0;1.58e4;1.27e4;0;0;103;133;7.31e3											
GASIFICATION_PLANTS	722;218		1.99e4;225	761;458	461;207		3.69e3;462											
PYROLYSIS_PLANTS	0;1.15e3;13.4	0;1.92e3;11.2	0;5.28e4;69.6	0;4.02e3;28.9	0;3.64e3;129	0;3.42e3;0	0;1.5e4;1.4e3											
POLYMER_PLANTS	9.49e3	880	1.53e4	1e4	1.64e3	2.37e3	1.88e4											
CHEMICAL_PLANTS	1.32e4	2.21e3	3.18e4	1.39e4	4.54e3	6.57e3	2.36e4											
FINE_CHEMICALS_PLANTS	2.41e3		1.99e3	2.54e3	498	1.44e3	1.84e3											
CONCRETE_PLANTS	6.12e4	3.08e4	1.39e6	1.3e5	1.72e5	3.66e4	7.95e5											
GLASS_CERAMICS_PLANTS	2.17e3	684	1.4e4	3.43e3	1.29e3	1.22e3	6.01e3											
SEMICONDUCTOR_MAT_FABS	1.32		0.943	1.05		2.46	1.92											
PROPELLANT_PLANTS	55.5	14	20.3	17.6	6.42	11	8.58											
FERTILIZER_PLANTS	1.79e3	936	6.65e3	2.36e3	2.24e3	335	9.9e3											
CONSTRUCTION_YARDS	1.93e4;1.93e3	4.86e3;486	1e5;1e4	2.34e4;2.34e3	1e4;1e3	1.10e4;1.10e3	3.77e4;3.77e3											
SPACE_YARDS	0.00221	0.00134	0.000823	0.0012	0.000526	4.4e-4	0.00133											
TRANSPORT_FACTORIES	2.79e3	360	6.65e3	4.07e3	1.11e3	4.17e3	5.19e3											
METAL_FAB_WORKS	4.06e3;849	1.7e3;142	2.62e4;4.38e3	5.36e3;1.07e3	1.93e3;242	3.80e3;634	1.12e4;1.78e3											
COMPOSITES_FACILITIES	632;281	35.3;15.7	399;177	555;247	55.3;24.5	316;140	246;109											
TEXTILES_MILLS	315	52.8	1.34e3	498	220	235	551											
HEAVY_MANUF_PLANTS	2.1e3;1.34e3	527;224	8.67e3;5.53e3	3.32e3;2.11e3	648;414	2.51e3;2.00e3	5.14e3;3.11e3											
PRECISION_MANUF_PLANTS	439	36.8	453	463	62.5	493	512											
ELECTRONICS_FACTORIES	585	98.1	3.47e3	514	128	730	1.87e3											
ADVANCED_PROCESSOR_FABS	0.0929;0		0.0294;0	0.0164;0		2.33e-2;0	0.199;0											
ROBOTICS_FACTORIES	1.75		2.77	2.47		5.26	1.36											
SOLAR_PANEL_FACTORIES	12.9		422	14.5	7.53	12.8	45.1											
BATTERY_FACTORIES	571	38.3	6.52e3	603	150	771	1.33e3											
NUCLEAR_FUEL_FAB_PLANTS	1.2;0.0444;0	2.22;0.0372;0	0.912;0;0	2.12;0;0	0.0841;0;0	0.662;0;0	1.44;0.0259;0											
CONSUMER_GOODS_FACTORIES	2.51e4;4.02e3	5.27e3;449	7.6e4;9.75e3	3.32e4;4.24e3	1.09e4;829	1.25e4;4.02e3	6.36e4;6.25e3											
CREW_SYSTEMS														0.200	0.300	0.0500	0.0400	0.200
CITIES_TOWNS	1.63e4	7.27e3	6.98e4	2.62e4	6.64e4	6.36e3	1.82e5	3.45	11	15	2.4	0.825	0.49					
INDUST_FARMS	2.23e5	4.79e4	3.55e5	1.95e5	7.46e4	9.06e3	6.94e5											
CONTROLLED_ENV_FARMS	2.93e3	823	1.2e4	2.54e4	561	4.22e3	5.48e3											
ARTISANAL_FARMS	1.88e3	1.23e3	4.81e3	3.65e3	4.48e3	1.77e3	5.47e3											
ARTISANAL_WORKSHOPS	616	406	1.58e3	799	1.83e3	582	1.79e3											
COMMERCIAL_FISHING_FLEETS	90.5	85.9	332	119	85.5	68.5	884											
AQUACULTURE_FARMS	187	197	2.55e4	775	3.07e3	604	7.49e3											
CONTROLLED_ENV_AQUACULTURE_FACILITIES	63.3	4.04	21.6	261	3.66	45.5	32.2											
FORESTRY_OPS	607	1.67e3	1.86e3	780	1.3e3	167	1.22e4											
ALGAL_CULTIVATION_FACILITIES	1.32		8.74	0.55	0.35	0.990	1.22											
BIOREACTOR_FACILITIES	0;3.48e3;922	0;0;61.6	0;176;696	0;327;973	0;21.6;161	0;0;442	0;2.57e3;645											
FOOD_PROCESSING_PLANTS	3.76e4	5.25e3	4.74e4	4.4e4	1.99e4	1.56e4	5.84e4											
BIOGAS_DIGESTERS	1.9e3	127	4.51e3	6.98e3	660	227	4.53e3											
BIOMASS_CONVERSION_PLANTS	301		51.9	476			234											
PHARMACEUTICAL_PLANTS	96.2	7.29	67.7	116	82.9	53	41.3											
SOIL_CONDITIONING_FACILITIES																		
WASTEWATER_TREATMENT_PLANTS	2.41e3	506	3.12e3	2.8e3	625	1.44e3	2.5e3											
@ENTITY_X_ENTITY																		
@DATA_TYPE=ARRAY[FLOAT]																		
@TRANSPOSE																		
SCALAR_COMPUTE_NODES	76.9	3.36	47.5	25.4	5.26	15	35.1											
TENSOR_COMPUTE_NODES	1.27e3	56	791	423	87.6	250	585											
PROFESSIONAL_BUSINESS_OFFICES	5.63e5;2.81e5;5.63e5;1.13e6;4.22e5;7.02e5;5.63e5;5.63e5	2.66e4;1.33e4;2.66e4;5.31e4;2e4;3.32e4;2.66e4;2.66e4	2.5e5;1.25e5;2.5e5;5e5;1.87e5;3.13e5;2.5e5;2.5e5	3.9e5;1.95e5;3.9e5;7.82e5;2.92e5;4.87e5;3.9e5;3.9e5	4.61e4;2.31e4;4.61e4;9.23e4;3.46e4;5.77e4;4.61e4;4.61e4	1.08e5;5.4e4;1.08e5;2.16e5;8.1e4;1.35e5;1.08e5;1.08e5	5.34e5;2.67e5;5.34e5;1.07e6;4.01e5;6.67e5;5.34e5;5.34e5											
COMMUNICATIONS_MEDIA_NETWORKS	8.42e5;7.02e5	3.98e4;3.32e4	3.75e5;3.13e5	5.85e5;4.87e5	6.95e4;5.77e4	1.62e5;1.35e5	8.03e5;6.67e5											
FINANCIAL_CENTERS	2.25e6;1.13e6	1.06e5;5.31e4	1e6;5e5	1.56e6;7.82e5	1.85e5;9.23e4	4.32e5;2.16e5	2.14e6;1.07e6											
RESEARCH_LABORATORIES	7.02e5	3.32e4	3.13e5	4.87e5	5.77e4	1.35e5	6.67e5											
EXCHANGES	1.41e5	6.67e3	6.26e4	9.73e4	1.16e4	2.7e4	1.33e5											
TRANSPORT_LOGISTICS_HUBS	1.97e6;8.42e5	9.3e4;3.98e4	8.74e5;3.75e5	1.37e6;5.85e5	1.62e5;6.95e4	3.78e5;1.62e5	1.87e6;8.03e5											
RETAIL_COMMERCIAL_CENTERS	2.53e6;1.41e6;7.02e5;8.42e5	1.19e5;6.67e4;3.32e4;3.98e4	1.13e6;6.26e5;3.13e5;3.75e5	1.75e6;9.73e5;4.87e5;5.85e5	2.08e5;1.16e5;5.77e4;6.95e4	4.86e5;2.7e5;1.35e5;1.62e5	2.4e6;1.33e6;6.67e5;8.03e5											
HOSPITALS_CLINICS	3.66e6	1.73e5	1.63e6	2.53e6	3e5	7.02e5	3.47e6											
SCHOOLS_UNIVERSITIES	1.69e6	7.96e4	7.53e5	1.17e6	1.38e5	3.24e5	1.6e6											
CIVIC_GOVERNMENT_BUILDINGS	3.38e6	1.59e5	1.5e6	2.34e6	2.77e5	6.48e5	3.2e6											
UTILITY_SANITATION_NETWORKS	1.13e6	5.31e4	5e5	7.82e5	9.23e4	2.16e5	1.07e6											
# transposed on import to:																		
# table[facility_type][operation_type]																		
